Título do filme,vote_count,Ano,Plotwords,Gênero,Diretor,poster_path,overview,keywords
Manchester by the Sea,6231.0,2016,I can't beat it.,Drama,Kenneth Lonergan,/o9VXYOuaJxCEKOxbA86xqtwmqYn.jpg,"""I can't beat it.""","funeral, boston, massachusetts, brother, boat, sadness, massachusetts, loss, dysfunctional family, grief, hospital, house fire, death, nephew, ex-wife, nonlinear timeline, mental health, ex-husband ex-wife relationship, legal guardian, dysfunctional life"
Lion,6845.0,2016,The search begins,Drama,Garth Davis,/iBGRbLvg6kVc7wbS8wDdVHq6otm.jpg,"""The search begins""","australia, based on novel or book, adoption, biography, based on true story, india, missing child, long lost relative, tasmania, street child"
Uncharted,6581.0,2022,Fortune favors the bold.,"Action, Adventure",Ruben Fleischer,/rJHC1RUORuUhtfNb4Npclx0xnOf.jpg,"""Fortune favors the bold.""","lighter, treasure hunt, treasure map, based on video game, lost treasure, duringcreditsstinger, missing relative"
Ouija: Origin of Evil,2571.0,2016,"When you talk to the other side, you never know who will be listening.",Horror,Mike Flanagan,/gwynHc2RrOFaplYMMpQRpr3TIA4.jpg,"""When you talk to the other side, you never know who will be listening.""","supernatural, possession, prequel, spirit, aftercreditsstinger, 1960s"
Sing,8305.0,2016,Auditions begin.,"Family, Comedy, Music, Animation",Garth Jennings,/lW0kUtXTOVlHTVhDO2VzNBACAHX.jpg,"""Auditions begin.""","anthropomorphism, singing, singing competition, illumination"
Circle,2078.0,2015,In here…everything gets you killed.,"Horror, Science Fiction, Mystery, Thriller","Aaron Hann, Mario Miscione",/hbIL53MdZFJXsgxXaSOVuApWTs8.jpg,"""In here…everything gets you killed.""",short film
Indiana Jones and the Dial of Destiny,3961.0,2023,A legend will face his destiny.,"Adventure, Action",James Mangold,/Af4bXE63pVsb2FtbW8uYIyPBadD.jpg,"""A legend will face his destiny.""","treasure hunt, ancient rome, sequel, flashback, knife fight, archaeologist, adventurer, 1960s, nazi germany, action adventure, suspenseful"
Venom,16970.0,2018,The world has enough Superheroes.,"Science Fiction, Action",Ruben Fleischer,/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg,"""The world has enough Superheroes.""","escape, voodoo, louisiana, swamp"
Blade Runner 2049,14715.0,2017,The key to the future is finally unearthed.,"Science Fiction, Drama",Denis Villeneuve,/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,"""The key to the future is finally unearthed.""","future, android, bounty hunter, artificial intelligence (a.i.), genetics, dystopia, sequel, cyberpunk, los angeles, california, las vegas, tech noir, blade runner, 2040s, incredulous"
Transformers: The Last Knight,6578.0,2017,Two worlds collide. One survives.,"Action, Adventure, Science Fiction",Michael Bay,/s5HQf2Gb3lIO2cRcFwNL9sn1o1o.jpg,"""Two worlds collide. One survives.""","england, based on toy, knight, robot, transformers"
Maze Runner: The Death Cure,8208.0,2018,The end will be WCKD.,"Science Fiction, Action, Adventure, Thriller",Wes Ball,/drbERzlA4cuRWhsTXfFOY4mRR4f.jpg,"""The end will be WCKD.""","based on novel or book, fight, maze, post-apocalyptic future, imprisonment, terminal illness, mad scientist, trial, sequel, survival, murder, zombie, doctor, battle, vaccine, scientist, killer, desert, labyrinth, combat, illness, cure, zombie apocalypse, runner, universal cure, based on young adult novel"
Fifty Shades Freed,8265.0,2018,Don't miss the climax.,"Drama, Romance",James Foley,/jjPJ4s3DWZZvI4vw8Xfi4Vqa1Q8.jpg,"""Don't miss the climax.""","based on novel or book, eroticism, sequel, bdsm"
American Made,4829.0,2017,It's not a felony if you're doing it for the good guys.,"Action, Comedy, Crime, Drama",Doug Liman,/23ILgoPSO5ShKcTZOuiTVfqFAUB.jpg,"""It's not a felony if you're doing it for the good guys.""","cia, drug smuggling, money laundering, pilot, based on true story, drug cartel, illegal drugs, dea agent, 1980s, pablo escobar"
The Fate of the Furious,10661.0,2017,Never give up on family.,"Action, Crime, Thriller",F. Gary Gray,/dImWM7GJqryWJO9LHa3XQ8DD5NH.jpg,"""Never give up on family.""","new york city, submarine, rescue mission, sequel, street race, betrayal, criminal mastermind, mysterious woman"
Mulan,6948.0,2020,Loyal. Brave. True.,"Adventure, Fantasy, Action",Niki Caro,/aKx1ARwG55zZ0GpRvU2WrGrCG9o.jpg,"""Loyal. Brave. True.""","martial arts, hero, china, fake identity, honor, east asian lead, heroine, based on myths, legends or folklore, live action and animation, chinese girl, live action remake"
Cruella,9868.0,2021,Hello cruel world.,"Comedy, Crime, Adventure",Craig Gillespie,/hjS9mH8KvRiGHgjk6VUZH7OT0Ng.jpg,"""Hello cruel world.""","1970s, anti hero, villain, punk rock, fashion designer, fashion, origin story, live action remake"
Elle,1961.0,2016,,"Drama, Thriller",Paul Verhoeven,/z446adpGUVXXPxrLpKBGnYBcofk.jpg,"""nan""","rape, france, video game, assault, death of father, car accident, birth, divorced woman, death of mother, christmas lights, giving birth, rape and revenge, christmas, intruder, pepper spray"
Bloodshot,5156.0,2020,Being a superhero is in his blood.,"Action, Science Fiction, Adventure",Dave Wilson,/8WUVHemHFH2ZIP6NWkwlHWsyrEL.jpg,"""Being a superhero is in his blood.""","nanotechnology, superhero, based on comic, memory, psychotronic, valiant comics"
Hell or High Water,4732.0,2016,Blood always follows money.,"Western, Crime, Drama",David Mackenzie,/ljRRxqy2aXIkIBXLmOVifcOR021.jpg,"""Blood always follows money.""","brother, bank robber, road trip, gun battle, police officer killed, criminal, bank robbery, held at gunpoint, car fire, cowboy, small western town, neo-western, divorced father, bullet hole"
Fantastic Beasts: The Crimes of Grindelwald,11301.0,2018,Fate of one. Future of all.,"Fantasy, Adventure",David Yates,/fMMrl8fD9gRCFJvsx0SuFwkEOop.jpg,"""Fate of one. Future of all.""","witch, new york city, paris, france, magic, school of witchcraft, sequel, prison escape, old flame, wizard, magical creature, 1920s, good versus evil, dark magic, follower, wizarding world"
Fantastic Beasts: The Secrets of Dumbledore,4939.0,2022,Return to the magic.,"Fantasy, Adventure",David Yates,/3c5GNLB4yRSLBby0trHoA1DSQxQ.jpg,"""Return to the magic.""","prison, witch, berlin, germany, magic, election campaign, curse, bhutan, fantasy world, wizard, magical creature, 1930s, good versus evil, wizarding world"
Zombieland: Double Tap,6089.0,2019,,"Horror, Comedy",Ruben Fleischer,/dtRbVsUb5O12WWO54SRpiMtHKC0.jpg,"""nan""","marriage proposal, the white house, gore, road trip, sequel, survival, spoof, zombie, recreational vehicle, aftercreditsstinger, graceland, minivan, christmas present"
Tomb Raider,8205.0,2018,Her legend begins.,"Action, Adventure, Fantasy",Roar Uthaug,/s4Qn5LF6OwK4rIifmthIDtbqDSs.jpg,"""Her legend begins.""","island, treasure hunt, remake, female protagonist, heiress, based on video game, bicycle courier, missing person, reboot, peril, slave labor, father daughter relationship"
Café Society,2771.0,2016,Anyone who is anyone will be seen at Café Society.,"Comedy, Drama, Romance",Woody Allen,/q9fohCRpQ7m8OTyi82fxa3B86te.jpg,"""Anyone who is anyone will be seen at Café Society.""","new year's eve, baby, love triangle, gangster, marriage, letter, love, murder, unrequited love, secretary, hollywood, los angeles, california, older man younger woman relationship, socialite, uncle nephew relationship, neighbor neighbor relationship, 1930s"
Baby Driver,16510.0,2017,All you need is one killer track.,"Action, Crime",Edgar Wright,/tYzFuYXmT8LOYASlFCkaPiAFAl0.jpg,"""All you need is one killer track.""","robbery, waitress, atlanta, crime boss, romance, heist, getaway car, on the run, shootout, bank robbery, getaway driver, sign languages, armed robbery, hearing impaired"
Solace,2337.0,2015,How do you stop a killer that can read your mind?,"Thriller, Crime, Mystery",Afonso Poyart,/pbcXpZgem8kgr90RwIUNAbC2ite.jpg,"""How do you stop a killer that can read your mind?""","fbi, investigation, autopsy, terminal illness, premonition, murder, cancer, psychologist, serial killer, crime scene, psychic, intrigue, dark past, vision of the future"
Shot Caller,2155.0,2017,Some criminals are made in prison,"Crime, Drama, Thriller",Ric Roman Waugh,/qLmLz2wtyYvmW8Ult3l2ngOnW8v.jpg,"""Some criminals are made in prison""","prison, california, tattoo, murder, gun battle, undercover cop, gang, drugs, criminal, insecurity, prison riot, driving drunk, estranged father, gun runner, probation officer, manslaughter, probation, thriller"
Baywatch,8379.0,2017,"Don't worry, summer is coming.","Comedy, Action, Crime",Seth Gordon,/6HE4xd8zloDqmjMZuhUCCw2UcY1.jpg,"""Don't worry, summer is coming.""","drug dealer, sea, beach, yacht, life-saver, lifeguard, rookie, vigilantism"
Loving Vincent,2561.0,2017,"The truth is, we cannot speak other than by our paintings.","Animation, Drama, Mystery, History","DK Welchman, Hugh Welchman",/56sq57kDm7XgyXBYrgJLumo0Jac.jpg,"""The truth is, we cannot speak other than by our paintings.""","artist, investigation, letter, painter, bullying, adult animation, struggling artist, 19th century, mysterious death, controversial artist, vincent van gogh"
Valerian and the City of a Thousand Planets,7823.0,2017,A universe without boundaries needs heroes without limits.,"Adventure, Science Fiction, Action",Luc Besson,/vlc95gl3PtrjxSEuM8RhTtSm2xU.jpg,"""A universe without boundaries needs heroes without limits.""","future, shapeshifting, space travel, utopia, based on comic, alien, alien planet, energy, alien abduction, genocide, parallel world, political intrigue , pacifist, space opera, military, government agent, marketplace, trapped in space, federal government, unity, cosmopolis"
Colossal,2205.0,2017,There's a monster in all of us,"Drama, Fantasy, Science Fiction",Nacho Vigalondo,/4VOyofBd1pexblxtDZYtYIk7NI4.jpg,"""There's a monster in all of us""","new york city, small town, monster, mental breakdown, creature, loss of job, alcoholic, psychotic, childhood friends, kaiju, catastrophe, seoul, south korea"
The Circle,4523.0,2017,Knowing is good. Knowing everything is better.,"Drama, Thriller, Science Fiction",James Ponsoldt,/bQVqd5rWrx5GbXhJNuvKy4Viz6j.jpg,"""Knowing is good. Knowing everything is better.""","deja vu, wife, love affair, silent film, senior citizen, runaway lovers"
The New Mutants,3624.0,2020,There is something new to fear.,"Science Fiction, Horror, Action",Josh Boone,/xiDGcXJTvu1lazFRYip6g1eLt9c.jpg,"""There is something new to fear.""","superhero, mutant, based on comic, superhero team, captivity"
Nocturnal Animals,8152.0,2016,When you love someone you can't just throw it away.,"Drama, Thriller",Tom Ford,/mdLDgQBD0va09npSQX5Zgo2evXM.jpg,"""When you love someone you can't just throw it away.""","based on novel or book, parent child relationship, hostage, flashback, revenge, cancer, writer, overbearing mother, art, novelist, ex-husband ex-wife relationship, carjacking, story within the story"
A Cure for Wellness,4082.0,2017,All of us are human. None of us are immune.,"Horror, Mystery, Science Fiction",Gore Verbinski,/8QWJtne0pTsNoJ86KE993aQYTLW.jpg,"""All of us are human. None of us are immune.""","darkness, therapist, switzerland, mountain, wellness, employee, health, patient, spa, drugs, remote, swiss alps, treatment, cure, accident, wellness center, institute, incertitude"
Atomic Blonde,6502.0,2017,Talents can be overrated.,"Action, Adventure, Thriller",David Leitch,/kV9R5h0Yct1kR8Hf8sJ1nX0Vz4x.jpg,"""Talents can be overrated.""","berlin, germany, undercover agent, undercover, germany, spy, cold war, stasi, bisexuality, vodka, kgb, europe, double agent, based on comic, murder, mi6, murder investigation, ddr"
Fifty Shades Darker,7852.0,2017,Every fairy tale has a dark side.,"Drama, Romance",James Foley,/w3qa274gvca9t8pkUoG8nfQgTU3.jpg,"""Every fairy tale has a dark side.""","based on novel or book, boat, eroticism, kiss, sequel, bdsm"
All the Bright Places,2958.0,2020,Live life at full brightness,"Romance, Drama",Brett Haley,/4SafxuMKQiw4reBiWKVZJpJn80I.jpg,"""Live life at full brightness""","suicide, indiana, usa, based on novel or book, based on young adult novel"
Ballerina,1960.0,2016,Life's greatest adventures begin with a single leap.,"Animation, Adventure, Comedy, Family","Éric Warin, Eric Summer",/qBxMhcmNnFniuDAZTKEHcSgKtsn.jpg,"""Life's greatest adventures begin with a single leap.""","ballet dancer, ballet, kirov ballet"
Jack Reacher: Never Go Back,5177.0,2016,Never give in. Never give up. Never go back.,"Action, Thriller, Drama, Crime",Edward Zwick,/cOg3UT2NYWHZxp41vpxAnVCOC4M.jpg,"""Never give in. Never give up. Never go back.""","based on novel or book, homicide, falsely accused, opium, new orleans, louisiana, sequel, false accusations, hdd"
Kingsman: The Golden Circle,10911.0,2017,A proper spy movie.,"Action, Adventure, Comedy, Crime",Matthew Vaughn,/34xBL6BXNYFqtHO9zhcgoakS4aP.jpg,"""A proper spy movie.""","saving the world, spy, europe, sequel, secret government organization, agent, statesman, spy universe"
Gerald's Game,3841.0,2017,Some games you play. Some you survive.,"Horror, Thriller",Mike Flanagan,/32dippiypDdaKv7XFEfUlQ7kPup.jpg,"""Some games you play. Some you survive.""","child abuse, based on novel or book, childhood trauma, sorrow, car accident, eclipse, dog, ghost, memoirs"
The Equalizer 2,5775.0,2018,There is no equal.,"Action, Thriller, Crime",Antoine Fuqua,/cQvc9N6JiMVKqol3wcYrGshsIdZ.jpg,"""There is no equal.""","drug dealer, martial arts, cia, rape, kidnapping, hostage, hurricane, sequel, revenge, murder, gang, massacre, elite forces, vigilante justice"
Lights Out,4045.0,2016,You were right to be afraid of the dark.,Horror,David F. Sandberg,/8BnElzAQQpp7ZgdJJiAe1diomr4.jpg,"""You were right to be afraid of the dark.""",short film
Collateral Beauty,5493.0,2016,We are all connected,"Drama, Romance",David Frankel,/4vfqosgik5pLb32RpskYifp8PWJ.jpg,"""We are all connected""","friendship, despair, group therapy, loss, grief, death, grieving father, central park, new york city, actors"
The Shack,2220.0,2017,You're never as alone as you think.,"Drama, Family",Stuart Hazeldine,/doAzav9kfdtsoSdw1MDFvjKq3J4.jpg,"""You're never as alone as you think.""","based on novel or book, loss of loved one, christianity, guilt, death of daughter, family trip, christian film, christian"
The Meg,8035.0,2018,Pleased to eat you.,"Action, Science Fiction, Horror",Jon Turteltaub,/eyWICPcxOuTcDDDbTMOZawoOn8d.jpg,"""Pleased to eat you.""","beach, based on novel or book, ocean, deep sea, creature, underwater, shark, oceanic expedition, kaiju, submersible, extinct, underwater facility, mariana trench"
It,20030.0,2017,You'll float too.,"Horror, Thriller, Drama",Andy Muschietti,/9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg,"""You'll float too.""","based on novel or book, supernatural, clown, flashback, miniseries, evil, anxious, horror, thriller"
Paddington 2,2666.0,2017,Magic. Mystery. Marmalade.,"Adventure, Comedy, Family",Paul King,/1OJ9vkD5xPt3skC6KguyXAgagRZ.jpg,"""Magic. Mystery. Marmalade.""","london, england, based on novel or book, sequel, bear, train, based on children's book, animal, aging actor, live action and animation"
Underworld: Blood Wars,3867.0,2016,Protect the Bloodline,"Fantasy, Action, Thriller, Science Fiction, Horror",Anna Foerster,/v1ciDCWMG47gdT4kMyjyQbnLQQn.jpg,"""Protect the Bloodline""","martial arts, sword, vampire, hybrid, ambition, sequel, betrayal, conspiracy, werewolf, gothic, uzi, dark fantasy, woman director, urban gothic"
The Girl on the Train,5918.0,2016,What you see can hurt you.,"Crime, Mystery, Thriller",Tate Taylor,/AhTO2QWG0tug7yDoh0XoaMhPt3J.jpg,"""What you see can hurt you.""","infidelity, new york city, amnesia, based on novel or book, obsession, homicide, blackout, alcoholism, flashback, confusion, memory loss, domestic abuse, disappearance, female protagonist, psychological thriller, train, divorcee, missing person, police investigation, ex-husband ex-wife relationship, unreliable narrator, voyeurism, abuse, alcoholics anonymous"
Barbie,10700.0,2023,She's everything. He's just Ken.,"Comedy, Adventure",Greta Gerwig,/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,"""She's everything. He's just Ken.""","feminism, satire, patriarchy, based on toy, female protagonist, doll, submissive, fantasy world, motherhood, existentialism, woman director, mother daughter relationship, gender discrimination, barbie, secret world"
